ticker,label_shariah_etf
A,1
AAPL,1
ABBV,1
ABT,1
ACN,1
ADBE,1
ADDYY,1
ADI,1
ADM,1
ADSK,1
AEM,1
AHCHY,1
AIQUY,1
AJINY,1
AKAM,1
ALB,1
ALC,1
ALFVY,1
ALGN,1
ALLE,1
ALPMY,1
AMADY,1
AMAT,1
AMD,1
ANET,1
ANPDY,1
AOS,1
APD,1
APTV,1
ARM,1
ASAZY,1
ASBFY,1
ASCCY,1
ASR,1
ATDRY,1
ATEYY,1
ATLCY,1
ATLKY,1
ATO,1
AVB,1
AVGO,1
AVY,1
AZN,1
AZO,1
BABA,1
BBY,1
BDNNY,1
BDRFY,1
BDX,1
BHP,1
BIIB,1
BKNG,1
BKR,1
BLDR,1
BRDCY,1
BSX,1
BURL,1
BXBLY,1
BYDDY,1
BZ,1
CAH,1
CAJPY,1
CARR,1
CBRE,1
CDNS,1
CDW,1
CEG,1
CF,1
CFRUY,1
CGEMY,1
CHD,1
CHEOY,1
CHGCY,1
CHRW,1
CHT,1
CL,1
CLCGY,1
CLPBY,1
CLS,1
CLX,1
CMI,1
CMPGY,1
CMSQY,1
CNQ,1
COO,1
COP,1
COR,1
CP,1
CPRT,1
CPT,1
CRH,1
CRL,1
CRM,1
CRWD,1
CSCO,1
CSLLY,1
CSUAY,1
CSX,1
CTAS,1
CTRA,1
CTSH,1
CTVA,1
CVE,1
CVX,1
DAL,1
DASH,1
DASTY,1
DD,1
DECK,1
DELL,1
DFKCY,1
DHI,1
DHR,1
DIFTY,1
DLR,1
DLTR,1
DNPLY,1
DNZOY,1
DOCU,1
DOV,1
DOW,1
DQJCY,1
DSCSY,1
DSNKY,1
DVN,1
DXCM,1
EA,1
EBAY,1
ECL,1
EDU,1
EFX,1
EGP,1
EL,1
ELS,1
EMR,1
EOG,1
EPAM,1
EPOBY,1
EQIX,1
EQR,1
ERIC,1
ESLOY,1
EW,1
EXE,1
EXPD,1
EXPGY,1
FANUY,1
FAST,1
FCX,1
FDX,1
FERG,1
FFIV,1
FICO,1
FJTSY,1
FLEX,1
FRCOY,1
FSLR,1
FSUGY,1
FSV,1
FTNT,1
FTV,1
FUJHY,1
FUJIY,1
FWONA,1
FWONK,1
GBERY,1
GDDY,1
GEHC,1
GEV,1
GFI,1
