ticker,total_debt,shares_outstanding,total_revenue,debt_to_revenue,revenue_per_share
A,12231000000.0,283500427.0,6510000000.0,1.8788018433179723,22.962928376823925
AAPL,358694000000.0,14776353000.0,416161000000.0,0.8619116159371013,28.163986066115232
ABBV,263052000000.0,1767384632.0,56334000000.0,4.669506869741187,31.874216274163008
ABT,50676000000.0,1738871947.0,41950000000.0,1.208009535160906,24.124835685787275
ACN,21514385000.0,620138892.0,69672977000.0,0.3087909534854525,112.3506006457663
ADBE,,418600000.0,21505000000.0,,51.37362637362637
ADDYY,14014000000.0,357098168.0,23683000000.0,0.5917324663260567,66.32069868249786
ADI,28471666000.0,491955436.0,9427157000.0,3.020175223558916,19.162623908885926
ADM,42779000000.0,480569735.0,85530000000.0,0.5001636852566351,177.97625145911445
ADSK,8093000000.0,213000000.0,6131000000.0,1.3200130484423422,28.784037558685448
AEM,3923845000.0,502046562.0,8285753000.0,0.47356528730701963,16.50395327276437
AHCHY,86431841705.0,259920000.0,91029615303.0,0.9494914530540868,350.2216655240074
AIQUY,45059900000.0,2889879740.0,27057800000.0,1.6653201664584705,9.362950168992153
AJINY,1656636000000.0,969514670.0,1530556000000.0,1.0823752936841253,1578.6826619137182
AKAM,15843125000.0,143865237.0,3991168000.0,3.9695460075847473,27.742407291901934
ALB,13071458000.0,117697540.0,5377526000.0,2.430756820143687,45.68936614987875
ALC,17874000000.0,491200000.0,9911000000.0,1.8034507113308444,20.17711726384365
ALFVY,40923000000.0,413326315.0,66953000000.0,0.6112198109121324,161.98581500914113
ALGN,238554000.0,71749995.0,3999012000.0,0.05965323434888417,55.73536276901483
ALLE,7494200000.0,86031953.0,3772200000.0,1.9866921160065745,43.846499683669855
ALPMY,3137332000000.0,1791215714.0,1912323000000.0,1.6405868673858965,1067.6117817934685
AMADY,12042300000.0,430887590.0,6141700000.0,1.9607437680121138,14.253601501960175
AMAT,,796642427.0,27176000000.0,,34.11317183085455
AMD,,1628041540.0,25785000000.0,,15.838047965287176
ANET,,1259285070.0,7003146000.0,,5.561207836760901
ANPDY,86482000000.0,110819983.0,70826000000.0,1.2210487674018016,639.1085622166175
AOS,626600000.0,113372121.0,3818100000.0,0.1641130405175349,33.677591689406604
APTV,32907000000.0,216079411.0,19713000000.0,1.669304519859991,91.23034864251828
ARM,712000000.0,1060998569.0,4007000000.0,0.1776890441726978,3.776630918340098
ASAZY,276392000000.0,2106500730.0,150162000000.0,1.8406254578388674,71.28504531778634
ASBFY,7969000000.0,711141187.0,20073000000.0,0.39700094654511037,28.226462433823286
ASCCY,,716696411.0,678526000000.0,,946.7411718348901
ASR,,27705000.0,31332787000.0,,1130.9434037177405
ATDRY,,3446516512.0,601100000.0,,0.17440798496310816
ATEYY,261961000000.0,727392176.0,779707000000.0,0.3359736413806725,1071.9210705395324
ATLCY,105556000000.0,1560876032.0,176771000000.0,0.5971341453066397,113.25114639213065
ATLKY,105556000000.0,3308419482.0,176771000000.0,0.5971341453066397,53.43064897355117
ATO,31691836000.0,160523571.0,4165187000.0,7.608742656692245,25.947510225772387
AVB,32546984000.0,141594945.0,2913757000.0,11.170109243838796,20.578114564753708
AVGO,260838000000.0,4722365022.0,51574000000.0,5.057548377089231,10.921222683916449
AVY,12279700000.0,77295394.0,8755700000.0,1.402480669735144,113.27583115754608
AZN,112064000000.0,3100541128.0,54073000000.0,2.072457603609935,17.439858969030904
AZO,41905339000.0,16632663.0,18938717000.0,2.2126809857288645,1138.6461085636136
BABA,812139000000.0,2385996266.0,996347000000.0,0.8151166210165736,417.58112290356786
BBY,,210101265.0,41528000000.0,,197.6570678905717
BDNNY,58076000000.0,141977727.0,89207000000.0,0.6510251437667448,628.3168626864973
BDRFY,258000000.0,1106895900.0,9850000000.0,0.02619289340101523,8.89875913353731
BHP,80229000000.0,2539105827.0,51262000000.0,1.565077445281105,20.1889970299375
BIIB,23477200000.0,146702272.0,9675900000.0,2.4263582715819716,65.95603372795753
BKNG,51194000000.0,32233815.0,23739000000.0,2.156535658620835,736.4626247312023
BKR,20728000000.0,986773882.0,27829000000.0,0.7448345251356498,28.202003019775912
BLDR,15920252000.0,110580581.0,16400492000.0,0.9707179516321828,148.31258663761227
BRDCY,1833823000000.0,1305526978.0,4430096000000.0,0.41394656007454467,3393.339298730294
BSX,43120000000.0,1482442039.0,16747000000.0,2.574789514539918,11.296900357262468
BURL,13169970000.0,63035016.0,10634823000.0,1.2383816825160137,168.71294202574646
BXBLY,8712100000.0,681436806.0,6545400000.0,1.3310263696641917,9.605292732016004
BYDDY,,3683400000.0,777102455000.0,,210.97422354346529
