ticker,total_debt,shares_outstanding,is_fully_islamic,non_permissible_revenue,total_revenue,alcohol,pork,gambling,pornography,tobacco_vaping,recreational_cannabis,impermissible_advertising,impermissible_media,deferred_gold_silver,conventional_finance,sector
A,12231000000.0,283500427.0,False,0.0,6510000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
AAPL,358694000000.0,14776353000.0,False,0.0,416161000000.0,False,False,False,False,False,False,False,False,False,False,Technology
ABBV,263052000000.0,1767384632.0,False,0.0,56334000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
ABT,50676000000.0,1738871947.0,False,0.0,41950000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
ACN,21514385000.0,620138892.0,False,0.0,69672977000.0,False,False,False,False,False,False,False,False,False,False,Technology
ADBE,,418600000.0,False,0.0,21505000000.0,False,False,False,False,False,False,False,False,False,False,Technology
ADDYY,14014000000.0,357098168.0,False,0.0,23683000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
ADI,28471666000.0,491955436.0,False,0.0,9427157000.0,False,False,False,False,False,False,False,False,False,False,Technology
ADM,42779000000.0,480569735.0,False,0.0,85530000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
ADSK,8093000000.0,213000000.0,False,0.0,6131000000.0,False,False,False,False,False,False,False,False,False,False,Technology
AEM,3923845000.0,502046562.0,False,0.0,8285753000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
AHCHY,86431841705.0,259920000.0,False,0.0,91029615303.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
AIQUY,45059900000.0,2889879740.0,False,0.0,27057800000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
AJINY,1656636000000.0,969514670.0,False,0.0,1530556000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Defensive
AKAM,15843125000.0,143865237.0,False,0.0,3991168000.0,False,False,False,False,False,False,False,False,False,False,Technology
ALB,13071458000.0,117697540.0,False,0.0,5377526000.0,False,False,False,False,False,False,False,False,False,False,Basic Materials
ALC,17874000000.0,491200000.0,False,0.0,9911000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
ALFVY,40923000000.0,413326315.0,False,0.0,66953000000.0,False,False,False,False,False,False,False,False,False,False,Industrials
ALGN,238554000.0,71749995.0,False,0.0,3999012000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
ALLE,7494200000.0,86031953.0,False,0.0,3772200000.0,False,False,False,False,False,False,False,False,False,False,Industrials
ALPMY,3137332000000.0,1791215714.0,False,0.0,1912323000000.0,False,False,False,False,False,False,False,False,False,False,Healthcare
AMADY,12042300000.0,430887590.0,False,0.0,6141700000.0,False,False,False,False,False,False,False,False,False,False,Technology
AMAT,,796642427.0,False,0.0,27176000000.0,False,False,False,False,False,False,False,False,False,False,Technology
AMD,,1628041540.0,False,0.0,25785000000.0,False,False,False,False,False,False,False,False,False,False,Technology
ANET,,1259285070.0,False,0.0,7003146000.0,False,False,False,False,False,False,False,False,False,False,Technology
ANPDY,86482000000.0,110819983.0,False,0.0,70826000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
AOS,626600000.0,113372121.0,False,0.0,3818100000.0,False,False,False,False,False,False,False,False,False,False,Industrials
APTV,32907000000.0,216079411.0,False,0.0,19713000000.0,False,False,False,False,False,False,False,False,False,False,Consumer Cyclical
