Symbol,Description,% Portfolio Weight,Shares Held,Market Value
AAPL,Apple Inc,15.21%,406700,109700000
MSFT,Microsoft Corp,14.22%,206300,102600000
GOOGL,Alphabet Inc Class A,6.40%,162100,46200000
GOOG,Alphabet Inc Class C,5.22%,131900,37600000
META,Meta Platforms Inc Class A,5.22%,60900,37700000
TSLA,Tesla Inc,4.82%,78000,34800000
XOM,Exxon Mobil Corp,1.93%,121400,13900000
JNJ,Johnson & Johnson,1.73%,66800,12500000
AMD,Advanced Micro Devices Inc,1.49%,45100,10700000
PG,Procter & Gamble Co,1.33%,65800,9600000
CVX,Chevron Corp,1.14%,53800,8200000
CSCO,Cisco Systems Inc,1.10%,111500,7900000
MU,Micron Technology Inc,1.03%,31300,7500000
CRM,Salesforce Inc,0.87%,26100,6200000
MRK,Merck & Co Inc,0.84%,70600,6100000
ABT,Abbott Laboratories,0.84%,48300,6000000
TMO,Thermo Fisher Scientific Inc,0.83%,10600,6000000
LRCX,Lam Research Corp,0.80%,35700,5800000
ISRG,Intuitive Surgical Inc,0.76%,10000,5500000
LIN,Linde PLC,0.76%,13100,5500000
AMAT,Applied Materials Inc,0.73%,22500,5200000
QCOM,Qualcomm Inc,0.72%,30100,5200000
UBER,Uber Technologies Inc,0.70%,54500,5000000
NOW,ServiceNow Inc,0.68%,5700,4900000
T,AT&T Inc,0.67%,196400,4900000
INTC,Intel Corp,0.63%,122500,4600000
KLAC,KLA Corp,0.62%,3700,4500000
TJX,TJX Companies Inc,0.62%,31300,4500000
GILD,Gilead Sciences Inc,0.60%,34900,4300000
GEV,GE Vernova Inc,0.58%,7700,4200000
BSX,Boston Scientific Corp,0.56%,40800,4000000
TXN,Texas Instruments Inc,0.56%,25200,4100000
PFE,Pfizer Inc,0.55%,159100,4000000
PANW,Palo Alto Networks Inc,0.54%,18300,3900000
ADBE,Adobe Inc,0.54%,11900,3900000
DHR,Danaher Corp,0.52%,17900,3800000
WELL,Welltower Inc,0.49%,18700,3500000
SYK,Stryker Corp,0.47%,9600,3400000
MDT,Medtronic PLC,0.45%,35900,3200000
ADI,Analog Devices Inc,0.45%,13900,3200000
PLD,Prologis Inc,0.44%,25600,3200000
MCK,McKesson Corp,0.42%,3500,3000000
