Symbol,Description,% Portfolio Weight,Shares Held,Market Value
WELL,Welltower Inc,13.72%,126600,23800000
PLD,Prologis Inc,13.14%,183700,22800000
EQIX,Equinix Inc,12.62%,26700,21900000
--,Goodman Group,11.09%,966600,19200000
SUI,Sun Communities Inc,4.98%,69500,8600000
ELS,Equity Lifestyle Properties Inc,4.88%,138900,8400000
EQR,Equity Residential,4.75%,140100,8200000
AVB,AvalonBay Communities Inc,4.73%,46700,8200000
CPT,Camden Property Trust,4.73%,82500,8200000
MAA,Mid-America Apartment Communities Inc,4.71%,64300,8200000
WY,Weyerhaeuser Co,4.66%,353300,8100000
EGP,EastGroup Properties Inc,4.12%,41000,7100000
--,Charter Hall Group,3.04%,365000,5300000
TRNO,Terreno Realty Corp,2.70%,79400,4700000
--,DEPOSITS WITH BROKER FOR SHORT POSITIONS,1.71%,92600000,3000000
RYN,Rayonier Inc,1.42%,109900,2500000
PCH,PotlatchDeltic Corp,1.28%,54900,2200000
--,BWP Group,0.62%,436100,1100000
--,IGB Real Estate Investment Trust,0.46%,1300000,804100
--,Axis Real Estate Investment Trust,0.43%,1500000,749600
--,Arena REIT,0.42%,310100,732400
--,RL Commercial REIT Inc,0.33%,4700000,573900
--,ZIRAAT GAYRIMENKUL YATIRIM ORTAKLIGI AS,0.23%,727700,397000
SITC,SITE Centers Corp,0.18%,42700,305500
--,IMPACT Growth Real Estate Investment Tru...,0.09%,508100,155400
--,Kizilbuk Gayrimenkul Yatrim Ortakligi AS...,0.08%,342700,130500
--,Avrupakent Gayrimenkul Yatirim Ortakligi,0.07%,91100,124500
--,Citicore Energy REIT Corp,0.07%,2100000,123200
--,Panora Gayrimenkul Yatirim Ortakligi AS,0.06%,46000,101600
--,AUSTRALIAN DOLLAR,0.00%,13300,8600
--,US DOLLARS,0.0133,2300000,2300000
