Description,% Portfolio Weight,Shares Held,Market Value
Adnoc Murban Sukuk Ltd. 4.75%,0.93%,3700000,3800000
AerCap Sukuk Ltd. 4.5%,0.29%,1200000,1200000
Ajman Senior Sukuk Ltd. 5.13%,0.32%,1300000,1300000
Aldar Investment Properties Sukuk Ltd. 5...,0.32%,1300000,1300000
Almarai Sukuk Ltd,0.29%,1200000,1200000
Banque Saudi Fransi 5.38%,0.48%,1900000,2000000
BBG Sukuk Ltd. 4.56%,0.48%,2000000,2000000
Boubyan Sukuk Ltd. 4.97%,0.31%,1300000,1300000
Dae Sukuk Difc Ltd,0.20%,800000,794800
DEPOSITS WITH BROKER FOR SHORT POSITIONS,1.01%,4100000,4100000
EDO Sukuk Ltd. 5.66%,0.45%,1800000,1800000
Ei Sukuk Co Ltd,0.15%,600000,601100
EI Sukuk Co Ltd. 5.43%,0.48%,1900000,2000000
FAB Sukuk Company Limited 5.15%,0.36%,1400000,1500000
Icdps Sukuk Ltd,0.15%,600000,600000
IsDB Trust Services No. 2 SARL 4.75%,1.22%,4800000,4900000
KFH Sukuk Co. 5.01%,0.63%,2500000,2500000
Ksa Ijarah Sukuk Ltd,1.31%,5300000,5300000
Ksa Ijarah Sukuk Ltd,1.91%,7700000,7800000
Maf Sukuk Ltd,0.15%,600000,595800
Mar Finance LLC 4.88%,0.31%,1300000,1300000
Mashreq Al Islami Sukuk Co Ltd. 5.03%,0.32%,1300000,1300000
MDGH Sukuk Ltd. 5%,0.62%,2400000,2500000
Oman Sovereign Sukuk Co,0.30%,1200000,1200000
Public Investment Fund (The) 4.88%,0.76%,3100000,3100000
QIB Sukuk Ltd. 4.8%,0.45%,1800000,1800000
Riyad Sukuk Limited 6.21%,0.78%,3100000,3200000
Riyad Sukuk Ltd,0.10%,400000,399300
Sa Global Sukuk Ltd,0.85%,3500000,3500000
Sa Global Sukuk Ltd,0.86%,3600000,3500000
SA Global Sukuk Ltd. 4.25%,0.86%,3500000,3500000
SA Global Sukuk Ltd. 4.75%,0.87%,3600000,3500000
Saudi Electricity Sukuk Programme Co. 4....,0.50%,2000000,2000000
Saudi Electricity Sukuk Programme Co. 5....,0.84%,3300000,3400000
Saudi Electricity Sukuk Programme Co. 5....,0.89%,3500000,3600000
SIB Sukuk Co. III Ltd. 5.2%,0.30%,1200000,1200000
SNB Sukuk Ltd 5.13%,0.53%,2100000,2100000
SNB Sukuk Ltd 5.94%,0.14%,550000,563500
Src Sukuk Ltd,0.30%,1200000,1200000
Src Sukuk Ltd,0.44%,1800000,1800000
SRC Sukuk Ltd. 5%,0.62%,2500000,2500000
SRC Sukuk Ltd. 5.38%,0.60%,2400000,2500000
US DOLLARS,0.29%,1200000,1200000
Warba Sukuk Ltd. 5.35%,0.32%,1300000,1300000
Perusahaan Penerbit Surat Berharga Syari...,1.17%,4800000,4800000
Perusahaan Penerbit Surat Berharga Syari...,1.03%,4200000,4200000
Perusahaan Penerbit Surat Berharga Syari...,0.77%,3100000,3100000
Perusahaan Penerbit Surat Berharga Syari...,0.57%,2500000,2300000
Perusahaan Penerbit Surat Berharga Syari...,0.32%,1700000,1300000
Perusahaan Penerbit Surat Berharga Syari...,0.54%,2400000,2200000
Perusahaan Penerbit Surat Berharga Syari...,0.33%,1800000,1300000
Perusahaan Penerbit Surat Berharga Syari...,1.03%,4200000,4200000
Perusahaan Penerbit Surat Berharga Syari...,0.91%,3600000,3700000
Perusahaan Penerbit Surat Berharga Syari...,0.64%,2500000,2600000
Perusahaan Penerbit Surat Berharga Syari...,0.63%,2400000,2600000
Perusahaan Penerbit Surat Berharga Syari...,0.67%,2700000,2700000
Perusahaan Penerbit Surat Berharga Syari...,0.68%,2700000,2800000
ADIB Sukuk Co II Ltd. 5.7%,0.33%,1300000,1400000
Air Lease Corp. Sukuk Ltd. 5.85%,0.36%,1500000,1500000
Aldar Investment Properties Sukuk Ltd. 4...,0.30%,1200000,1200000
Alinma Sukuk Ltd. 4.94%,0.32%,1300000,1300000
Aldar Investment Properties Sukuk Ltd. 5...,0.31%,1200000,1300000
Aldar Investment Properties 3.88%,0.29%,1200000,1200000
Al Rajhi Sukuk Ltd. 4.75%,0.65%,2600000,2600000
Al Rajhi Sukuk Ltd. 5.05%,0.58%,2300000,2300000
