Symbol,Description,% Portfolio Weight,Shares Held,Market Value
NVDA,NVIDIA Corp,14.28%,1400000,255800000
AAPL,Apple Inc,12.48%,828700,223500000
MSFT,Microsoft Corp,11.50%,414400,206000000
AVGO,Broadcom Inc,5.21%,262300,93300000
GOOGL,Alphabet Inc Class A,5.16%,324500,92400000
TSLA,Tesla Inc,3.89%,156300,69700000
LLY,Eli Lilly and Co,2.29%,43700,41000000
XOM,Exxon Mobil Corp,1.54%,240300,27500000
JNJ,Johnson & Johnson,1.40%,134200,25100000
ORCL,Oracle Corp,1.26%,92400,22500000
ABBV,AbbVie Inc,1.20%,98500,21600000
AMD,Advanced Micro Devices Inc,1.20%,90400,21500000
HD,The Home Depot Inc,1.14%,55300,20400000
PG,Procter & Gamble Co,1.07%,130600,19100000
CSCO,Cisco Systems Inc,0.88%,221800,15800000
MU,Micron Technology Inc,0.83%,62200,14800000
CRM,Salesforce Inc,0.71%,53400,12800000
ABT,Abbott Laboratories,0.68%,97000,12100000
MRK,Merck & Co Inc,0.67%,140000,12000000
TMO,Thermo Fisher Scientific Inc,0.66%,20900,11800000
LRCX,Lam Research Corp,0.65%,71300,11600000
--,US DOLLARS,0.61%,11000000,11000000
LIN,Linde PLC,0.61%,26200,10900000
UBER,Uber Technologies Inc,0.60%,116500,10700000
PEP,PepsiCo Inc,0.60%,76400,10800000
ISRG,Intuitive Surgical Inc,0.60%,19700,10800000
AMAT,Applied Materials Inc,0.59%,45200,10500000
QCOM,Qualcomm Inc,0.59%,61000,10600000
NOW,ServiceNow Inc,0.55%,11500,9900000
TJX,TJX Companies Inc,0.50%,62100,8900000
KLAC,KLA Corp,0.49%,7300,8900000
GILD,Gilead Sciences Inc,0.48%,69300,8500000
BKNG,Booking Holdings Inc,0.48%,1800,8600000
ACN,Accenture PLC Class A,0.47%,34800,8400000
TXN,Texas Instruments Inc,0.46%,50600,8200000
BSX,Boston Scientific Corp,0.46%,82400,8200000
GEV,GE Vernova Inc,0.46%,15100,8300000
ANET,Arista Networks Inc,0.43%,57400,7700000
ADBE,Adobe Inc,0.43%,23600,7700000
PANW,Palo Alto Networks Inc,0.43%,36800,7800000
DHR,Danaher Corp,0.42%,35300,7400000
CRWD,CrowdStrike Holdings Inc Class A,0.41%,13700,7300000
LOW,Lowe's Companies Inc,0.40%,31000,7200000
UNP,Union Pacific Corp,0.40%,33300,7300000
SYK,Stryker Corp,0.38%,19100,6800000
PLD,Prologis Inc,0.36%,51700,6400000
WELL,Welltower Inc,0.36%,34600,6500000
MDT,Medtronic PLC,0.36%,71500,6400000
ADI,Analog Devices Inc,0.36%,27600,6400000
COP,ConocoPhillips,0.34%,70300,6000000
CEG,Constellation Energy Corp,0.34%,17400,6100000
MCK,McKesson Corp,0.33%,6800,5800000
TT,Trane Technologies PLC Class A,0.30%,12300,5400000
NEM,Newmont Corp,0.29%,62000,5100000
