Symbol,Description,% Portfolio Weight,Shares Held,Market Value,,
TSM,Taiwan Semiconductor Manufacturing Co Lt...,15.36%,43600,12600000,,
BABA,Alibaba Group Holding Ltd ADR,5.26%,25800,4300000,,
--,ASML Holding NV,2.45%,1900,2000000,,
--,Samsung Electronics Co Ltd,2.05%,24600,1700000,,
AZN,AstraZeneca PLC ADR,1.57%,15400,1300000,,
SAP,SAP SE ADR,1.54%,5000,1300000,,
NSRGY,Nestle SA ADR,1.52%,12800,1300000,,
NVS,Novartis AG ADR,1.46%,9400,1200000,,
PDD,PDD Holdings Inc ADR,1.46%,8800,1200000,,
RHHBY,Roche Holding AG ADR,1.41%,28000,1200000,,
--,SK Hynix Inc,1.34%,2700,1100000,,
XIACY,Xiaomi Corp ADR,1.30%,38600,1100000,,
MPNGY,Meituan ADR,1.01%,31600,831800,,
HTHIY,Hitachi Ltd ADR,0.92%,22600,757000,,
--,MediaTek Inc,0.91%,18000,749500,,
NVO,Novo Nordisk AS ADR,0.90%,15900,740800,,
UL,Unilever PLC ADR,0.90%,12100,738800,,
SBGSY,Schneider Electric SE ADR,0.88%,13400,726300,,
BHP,BHP Group Ltd ADR,0.87%,12800,712000,,
--,Delta Electronics Inc,0.83%,21600,681800,,
INFY,Infosys Ltd ADR,0.77%,38900,629000,,
--,Al Rajhi Bank,0.72%,21600,590200,,
AIQUY,Air Liquide SA ADR,0.68%,14400,559200,,
--,ABB Ltd,0.66%,7700,538500,,
SNY,Sanofi SA ADR,0.64%,10600,524000,,
JD,JD.com Inc ADR,0.63%,16200,518800,,
BYDDY,BYD Co Ltd ADR,0.63%,41500,516800,,
ESLOY,Essilorluxottica ADR,0.63%,2900,521200,,
CFRUY,Compagnie Financiere Richemont SA ADR,0.62%,26300,509300,,
ATEYY,Advantest Corp ADR,0.62%,3800,510500,,
--,Mitsubishi Heavy Industries Ltd,0.61%,16700,504700,,
TOELY,Tokyo Electron Ltd ADR,0.61%,4700,499300,,
--,Trip.com Group Ltd,0.59%,6800,487200,,
GSK,GSK PLC ADR,0.58%,10100,477500,,
LRLCY,L'Oreal SA ADR,0.57%,5800,469600,,
--,Saudi Arabian Oil Co,0.54%,63900,440500,,
SMNEY,Siemens Energy AG ADR,0.49%,3300,405100,,
RCRUY,Recruit Holdings Co Ltd ADR,0.48%,39100,392700,,
RELX,RELX PLC ADR,0.48%,9100,395000,,
AEM,Agnico Eagle Mines Ltd,0.48%,2500,396700,,
