Symbol,Description,% Portfolio Weight,Shares Held,Market Value
TSM,Taiwan Semiconductor Manufacturing Co Lt...,15.43%,88400,25600000
--,ASML Holding NV,4.60%,7400,7600000
--,Infineon Technologies AG,3.75%,159000,6200000
--,Samsung Electronics Co Ltd,3.65%,88400,6100000
--,AstraZeneca PLC,3.00%,29500,5000000
--,Nestle SA,2.84%,48200,4700000
--,Novartis AG Registered Shares,2.73%,35900,4500000
--,SAP SE,2.70%,17800,4500000
--,Roche Holding AG,2.59%,13100,4300000
--,SK Hynix Inc,2.37%,9600,3900000
--,Hitachi Ltd,1.82%,89000,3000000
--,Unilever PLC,1.68%,46400,2800000
--,Schneider Electric SE,1.66%,10200,2800000
--,BHP Group Ltd,1.63%,97100,2700000
--,Novo Nordisk AS Class B,1.54%,53900,2600000
--,Air Liquide SA,1.28%,11000,2100000
--,ABB Ltd,1.24%,29400,2100000
--,Compagnie Financiere Richemont SA Class ...,1.19%,10200,2000000
--,Sanofi SA,1.19%,20000,2000000
PDD,PDD Holdings Inc ADR,1.16%,14100,1900000
--,Advantest Corp,1.15%,13800,1900000
--,Essilorluxottica,1.15%,5300,1900000
--,L'Oreal SA,1.09%,4400,1800000
--,GSK PLC,1.08%,76800,1800000
--,Xiaomi Corp Class B,1.07%,318500,1800000
--,Tokyo Electron Ltd,1.03%,7900,1700000
--,Siemens Energy AG Ordinary Shares,0.92%,12600,1500000
--,Hermes International SA,0.91%,642,1500000
AEM,Agnico Eagle Mines Ltd,0.91%,9500,1500000
--,Fast Retailing Co Ltd,0.89%,4000,1500000
--,RELX PLC,0.88%,33600,1500000
SU,Suncor Energy Inc,0.88%,34800,1500000
--,Recruit Holdings Co Ltd,0.87%,30400,1400000
--,Rio Tinto PLC Ordinary Shares,0.84%,20300,1400000
--,Keyence Corp,0.81%,3700,1400000
--,Meituan Class B,0.77%,95600,1300000
CNQ,Canadian Natural Resources Ltd,0.73%,38500,1200000
CP,Canadian Pacific Kansas City Ltd,0.71%,17100,1200000
--,Mitsubishi Electric Corp,0.70%,40700,1200000
--,Industria De Diseno Textil SA Share From...,0.70%,21100,1200000
--,BYD Co Ltd Class H,0.68%,89500,1100000
--,Wesfarmers Ltd,0.68%,21500,1100000
--,CSL Ltd,0.66%,9400,1100000
--,Hoya Corp,0.65%,6500,1100000
--,Shin-Etsu Chemical Co Ltd,0.64%,35900,1100000
--,Compass Group PLC,0.64%,32600,1100000
INFY,Infosys Ltd ADR,0.63%,64500,1000000
--,Barrick Mining Corp,0.61%,31200,1000000
--,Canadian National Railway Co,0.60%,10500,992400
--,Reckitt Benckiser Group PLC,0.59%,12800,980900
--,NEC Corp,0.56%,25500,932000
RACE,Ferrari NV,0.56%,2300,922100
--,Constellation Software Inc,0.54%,373,895600
--,Lonza Group Ltd,0.52%,1300,869400
--,Fujitsu Ltd,0.52%,33500,859900
WPM,Wheaton Precious Metals Corp,0.51%,8800,849500
JD,JD.com Inc ADR,0.51%,26300,840500
--,Haleon PLC,0.50%,176600,829700
--,Holcim Ltd,0.50%,9500,822200
WCN,Waste Connections Inc,0.48%,4800,800000
--,Daiichi Sankyo Co Ltd,0.47%,34700,773400
--,Experian PLC,0.47%,17100,786300
--,Atlas Copco AB Class A,0.46%,46200,755200
--,Goodman Group,0.46%,38700,768600
--,Cameco Corp,0.46%,8500,768000
TCOM,Trip.com Group Ltd ADR,0.45%,10700,750800
--,Murata Manufacturing Co Ltd,0.44%,33100,723400
--,Legrand SA,0.44%,4900,729500
--,Assa Abloy AB Class B,0.43%,19300,716400
--,Daikin Industries Ltd,0.42%,5500,696400
ALC,Alcon Inc,0.42%,9500,695400
--,Dollarama Inc,0.40%,5200,667000
--,Gold Fields Ltd,0.40%,17100,665300
--,Amadeus IT Group SA,0.39%,8500,642600
--,Givaudan SA,0.38%,154,632500
--,adidas AG,0.37%,3300,607000
--,Komatsu Ltd,0.37%,18100,615500
--,Rio Tinto Ltd,0.36%,7000,590700
--,Fanuc Corp,0.35%,17200,577900
--,UCB SA,0.35%,2300,580400
--,Sika AG,0.34%,3000,568900
--,Otsuka Holdings Co Ltd,0.34%,10100,560300
--,Chugai Pharmaceutical Co Ltd,0.32%,11900,538600
--,FUJIFILM Holdings Corp,0.31%,23400,521100
--,Disco Corp,0.30%,1500,504200
--,Denso Corp,0.30%,35900,490700
--,Wolters Kluwer NV,0.30%,4200,490100
--,Canon Inc,0.29%,17100,484500
--,Terumo Corp,0.28%,28500,463000
--,Atlas Copco AB Class B,0.25%,28800,420600
--,DEPOSITS WITH BROKER FOR SHORT POSITIONS,0.24%,18000000000,400300
--,US DOLLARS,0.21%,354300,354300
--,Chocoladefabriken Lindt & Spruengli AG,0.19%,2,308800
--,Chocoladefabriken Lindt & Spruengli AG O...,0.17%,18,276800
--,Roche Holding AG Bearer Shares,0.11%,539,185100
--,EURO,0.01%,10000,11600
--,Constellation Soft ([Wts/Rts]),0.00%,122,0
LUKOY,PJSC Lukoil ADR,0.00%,224,0
